tweet_id,emotion,hindi_abs,english_abs,other_abs,total_abs,hindi_ratio,english_ratio
20190,anger,0.026929168205242604,0.003279739040105293,0.012472100051430363,0.042681007296778255,0.6309403153958677,0.07684305614672927
17414,anger,0.02755942163639702,0.0035077262728009373,0.00784021383151412,0.038907361740712076,0.7083343717844343,0.09015585009791362
33728,anger,0.020171108044451103,0.006118609419597002,0.010138577087976348,0.036428294552024454,0.5537208999900908,0.16796310381368013
16011,anger,0.022191048396052793,0.005022394141027084,0.008602211222751066,0.03581565375983094,0.6195907673460137,0.1402290231725423
39739,anger,0.02367518248502165,0.0066127056944727276,0.0102873537815564,0.040575241961050786,0.583488387025469,0.16297390662070316
8027,anger,0.02588529381318949,0.008178431686246768,0.008431425027083606,0.042495150526519865,0.6091352423151274,0.19245564693653386
18715,anger,0.03662904387844416,0.003984600480180234,0.006978940965685373,0.04759258532430976,0.7696376153731336,0.08372313571595247
32527,anger,0.030651693229447115,0.008395923898206092,0.007797562866471708,0.046845179994124915,0.6543190405777349,0.17922706027085533
3658,anger,0.012376395228784531,0.04781953828448119,0.013993843856345242,0.07418977736961097,0.1668207624768268,0.6445569724012766
18388,anger,0.01655456336447969,0.011507586217097318,0.007682488949891801,0.03574463853146881,0.46313416625840015,0.3219388050872661
5321,anger,0.031458999175811186,0.006479363956411058,0.004742644164556016,0.042681007296778255,0.7370725568181669,0.15180906840734634
13667,anger,0.022428848955314606,0.007011271421409522,0.00901555153541267,0.0384556719121368,0.5832390344540034,0.18232086641026107
13748,anger,0.039631940599065274,0.012818810238968581,0.011851805204059929,0.06430255604209378,0.6163353844460147,0.199351488151997
27964,anger,0.011333138914778829,0.024084676270528387,0.013884872217507411,0.04930268740281462,0.22986858347465733,0.4885063581575358
24214,anger,0.011090280779171735,0.021840743691427633,0.02751203053048812,0.06044305500108749,0.18348312769717215,0.36134413938929255
24202,anger,0.02030028056081695,0.005879956197653276,0.003509741234787119,0.02968997799325734,0.6837418527365425,0.19804515176766474
37422,anger,0.025295312132220714,0.006809621140322027,0.008470308688508036,0.040575241961050786,0.6234174070114562,0.16782700019038102
13591,anger,0.007645132078323513,0.04916021925940489,0.008490583160892129,0.06529593449862053,0.1170843504580676,0.7528833094569383
28063,anger,0.017211385391419753,0.007503898984092908,0.01171301017651179,0.036428294552024454,0.4724729939481412,0.20599094951800012
19417,anger,0.0407413542852737,0.010870627185795456,0.007515071891248226,0.05912705336231738,0.6890476011990616,0.1838520028925284
9600,anger,0.024609569780295715,0.0029072423058096315,0.009545965547052523,0.03706277763315787,0.6639969088090956,0.07844102605004688
2227,anger,0.02479397496790625,0.008373403997393326,0.006531450862530618,0.03969882982783019,0.6245517834010527,0.21092319430340722
5677,anger,0.021293684258125722,0.023461224976927042,0.01642357709351927,0.061178486328572035,0.34805837045008725,0.38348815711005924
44312,anger,0.0312325261766091,0.006755699519999325,0.009164760122075677,0.0471529858186841,0.6623658212590514,0.1432719350154581
25279,anger,0.010735045303590596,0.02491767848065744,0.011939861540061733,0.04759258532430976,0.22556129763573182,0.5235621958937744
37752,anger,0.033091112796682864,0.02068917383439839,0.00534676673123613,0.05912705336231738,0.5596611181333173,0.3499104497499605
5777,anger,0.03776616242248565,0.01117652002722025,0.005454018944874406,0.054396701394580305,0.694273024912654,0.20546319428725135
8341,anger,0.023286216252017766,0.004122746409848332,0.011498399078845978,0.038907361740712076,0.5985041187629904,0.10596314490104203
13039,anger,0.02168329359847121,0.008914396341424435,0.01699489538441412,0.04759258532430976,0.45560234752356743,0.18730641087638208
23016,anger,0.018731440359260887,0.006654384541131245,0.01104246965163232,0.036428294552024454,0.514200310215179,0.1826707679556038
11438,anger,0.02565261558629572,0.00466492265695706,0.011448719771578908,0.0417662580148317,0.6141947305211343,0.1116911803614413
21503,anger,0.04516067371393243,0.010027204843936488,0.017104376602219418,0.07229225516008833,0.6246958766734543,0.13870372174352066
39468,anger,0.019734749919734895,0.04421219264622778,0.0012483447790145874,0.06519528734497726,0.3027020927955967,0.6781501308872435
20832,anger,0.03731243790825829,0.004713998263468966,0.01727633920381777,0.05930277537554502,0.6291853572108702,0.07949034819393799
13353,anger,0.03153709017594035,0.009687336341206295,0.016200491047735945,0.05742491756488258,0.5491882533450326,0.16869569434315485
1207,anger,0.0209120039944537,0.008632031094748527,0.009363326651509851,0.038907361740712076,0.5374819329518221,0.22186112623812526
35673,anger,0.0351291187107563,0.013813563738949597,0.005454018944874406,0.054396701394580305,0.6457950171636017,0.25394120203630366
15434,anger,0.009877642063656822,0.01764830773754511,0.011671503962134011,0.03919745376333594,0.2519970333607755,0.4502411775035443
10667,anger,0.013527465052902699,0.013808783575465593,0.009092045923656162,0.036428294552024454,0.3713450003426232,0.3790675282847736
29287,anger,0.03252034564502537,0.007818536832928658,0.006116821896284819,0.04645570437423885,0.7000291155429973,0.16830089949651655
14882,anger,0.015061851827167195,0.008492635388392955,0.00307489484423838,0.026629382059798534,0.5656102643818219,0.31891973194578915
21461,anger,0.025512029795208946,0.011460880060136939,0.010619675468963882,0.04759258532430976,0.5360505133596448,0.24081230263157924
36115,anger,0.02249660575762391,0.0049556393253927435,0.008363408676814288,0.03581565375983094,0.628122158776702,0.1383651784949614
36377,anger,0.030062242566297453,0.019653990544611588,0.01727487070214314,0.06699110381305218,0.448749772062127,0.29338209741190013
12024,anger,0.020911339262966067,0.01015580864623189,0.00784021383151412,0.038907361740712076,0.5374648479720678,0.2610253739102799
13134,anger,0.015587403322570026,0.017545715905725956,0.01401986659038812,0.0471529858186841,0.33057086527898316,0.37210190619092387
44463,anger,0.03351347072748467,0.015429211722221226,0.005454018944874406,0.054396701394580305,0.6160938047398534,0.28364241446005184
13333,anger,0.018624517406957843,0.015852576005272567,0.019305331942935784,0.0537824253551662,0.34629374342949415,0.2947538326988039
33196,anger,0.022609185805777088,0.034318732912652194,0.009269368107197806,0.06619728682562709,0.3415424844424945,0.5184311103724317
29203,anger,0.028433881234377623,0.0038735770969651638,0.007391371496487409,0.03969882982783019,0.7162397823233705,0.09757408754274309
35671,joy,0.04680148884654045,0.053401630371809006,0.01233663409948349,0.11253975331783295,0.41586628250698615,0.4745134834354309
27431,joy,0.032184138894081116,0.04298668820410967,0.030066474340856075,0.10523730143904686,0.3058244410868144,0.40847387396195667
38248,joy,0.050543688237667084,0.03671998344361782,0.0027000848203897476,0.08996375650167465,0.5618227851204304,0.4081641860178914
16355,joy,0.008723684586584568,0.04959919660662611,0.01735162160669764,0.07567450279990832,0.1152790472855956,0.6554281134528471
28697,joy,0.007938271388411522,0.03492226079106331,0.011017708107829094,0.053878240287303925,0.14733724312599955,0.6481700331124683
6516,joy,0.016101238317787647,0.02517261356115341,0.013409882225096226,0.05468373410403728,0.29444291948232004,0.4603309187566056
32635,joy,0.0024247285909950733,0.03928556013852358,0.026620565447956324,0.06833085417747498,0.03548512045081937,0.5749314948776673
41630,joy,0.003647446321944396,0.038569893377522625,0.016292459331452847,0.058509799030919865,0.062339067683635015,0.659203996874782
7626,joy,0.04980445591111978,0.014698153361678123,0.016863605628410973,0.08136621490120886,0.6121024060365851,0.18064197012880528
41923,joy,0.057177163660526276,0.020370349287986755,0.030817203223705292,0.10836471617221832,0.5276363532356568,0.18797953805935536
21278,joy,0.0077188871800899506,0.046904491260647774,0.023611515760421753,0.07823489420115948,0.0986629720523806,0.5995341559489529
